a	 a_0
boánh	b w a_4 N_+ 
boáo	b w a_4 O
boáp	b w a_4 p
boát	b w a_4 t
boáy	b w a_X_4 i 
boã	b w a_3
boãi	b w a_3 i
boãm	b w a_3 m
boãn	b w a_3 n
boãng	b w a_3 N
boãnh	b w a_3 N_+ 
boão	b w a_3 O
boãy	b w a_X_3 i 
boè	b w E_1
boèm	b w E_1 m
boèn	b w E_1 n
boèo	b w E_1 O
boé	b w E_4
boém	b w E_4 m
boén	b w E_4 n
boéo	b w E_4 O
boét	b w E_4 t
boòng	b O O_1 N
boóc	b O O_4 k
boóng	b O O_4 N
boõng	b O O_3 N
boạ	b w a_5
boả	b w a_2
boẹ	b w E_5
boẻ	b w E_2
boẽ	b w E_3
boạc	b w a_5 k
boắc	b w a_X_4 k
boặc	b w a_X_5 k
boọc	b O O_5 k
boạch	b w a_5 k_+ 
boại	b w a_5 i
boải	b w a_2 i
boăm	b w a_X_0 m
boạm	b w a_5 m
boảm	b w a_2 m
boắm	b w a_X_4 m
boằm	b w a_X_1 m
boẳm	b w a_X_2 m
boẵm	b w a_X_3 m
boặm	b w a_X_5 m
boẹm	b w E_5 m
boẻm	b w E_2 m
boẽm	b w E_3 m
boăn	b w a_X_0 n
boạn	b w a_5 n
boản	b w a_2 n
boắn	b w a_X_4 n
boằn	b w a_X_1 n
boẳn	b w a_X_2 n
boẵn	b w a_X_3 n
boặn	b w a_X_5 n
boẹn	b w E_5 n
boẻn	b w E_2 n
boẽn	b w E_3 n
boăng	b w a_X_0 N
boạng	b w a_5 N
boảng	b w a_2 N
boắng	b w a_X_4 N
boằng	b w a_X_1 N
boẳng	b w a_X_2 N
boẵng	b w a_X_3 N
boặng	b w a_X_5 N
boọng	b O O_5 N
boỏng	b O O_2 N
boạnh	b w a_5 N_+ 
boảnh	b w a_2 N_+ 
boạo	b w a_5 O
boảo	b w a_2 O
boẹo	b w E_5 O
boẻo	b w E_2 O
boẽo	b w E_3 O
boạp	b w a_5 p
boạt	b w a_5 t
boắt	b w a_X_4 t
boặt	b w a_X_5 t
boẹt	b w E_5 t
boạy	b w a_X_5 i 
boảy	b w a_X_2 i 
bu	b u_0
bua	b u@_0
bui	b u_0 i
bum	b u_0 m
bun	b u_0 n
bung	b u_0 Nm 
buy	b u_0 i
buya	b u_0 i@
buyn	b u i_0 n
buynh	b u i_0 J
buyu	b u i_0 u_0
buyên	b u i@_0 n
buyến	b u i@_4 n
buyền	b u i@_1 n
buyển	b u i@_2 n
buyễn	b u i@_3 n
buyện	b u i@_5 n
buyết	b u i@_4 t
buyệt	b u i@_5 t
buân	b u 7_X_0 n
buâng	b u 7_X_0 N
buây	b u 7_X_0 i_0
buê	b u_0 e
buênh	b u e_0 J
buôi	b u@_0 i
buôm	b u@_0 m
buôn	b u@_0 n
buông	b u@_0 N
buý	b u i_4
buýa	b u i@_4
buých	b u i_4 k
buýn	b u i_4 n
buýnh	b u i_4 J
buýp	b u i_4 p
buýt	b u i_4 t
buýu	b u i_4 u
buơ	b u_0 7
buế	b u e_4
buề	b u e_1
buể	b u e_2
buễ	b u e_3
buệ	b u e_5
buớ	b u 7_4
buờ	b u 7_1
buở	b u 7_2
buỡ	b u 7_3
buợ	b u 7_5
buỳ	b u i_1
buỵ	b u i_5
buỷ	b u i_2
buỹ	b u i_3
buỳa	b u i@_1
buỵa	b u i@_5
buỷa	b u i@_2
buỹa	b u i@_3
buốc	b u@_4 k
buộc	b u@_5 k
buếch	b u e_4 k
buệch	b u e_5 k
buỵch	b u i_5 k
buối	b u@_4 i
buồi	b u@_1 i
buổi	b u@_2 i
buỗi	b u@_3 i
buội	b u@_5 i
buốm	b u@_4 m
buồm	b u@_1 m
buổm	b u@_2 m
buỗm	b u@_3 m
buộm	b u@_5 m
buấn	b u 7_X_4 n
buần	b u 7_X_1 n
buẩn	b u 7_X_2 n
buẫn	b u 7_X_3 n
buận	b u 7_X_5 n
buốn	b u@_4 n
buồn	b u@_1 n
buổn	b u@_2 n
buỗn	b u@_3 n
buộn	b u@_5 n
buỳn	b u i_1 n
buỵn	b u i_5 n
buỷn	b u i_2 n
buỹn	b u i_3 n
buấng	b u 7_X_4 N
buầng	b u 7_X_1 N
buẩng	b u 7_X_2 N
buẫng	b u 7_X_3 N
buậng	b u 7_X_5 N
buống	b u@_4 N
buồng	b u@_1 N
buổng	b u@_2 N
buỗng	b u@_3 N
buộng	b u@_5 N
buếnh	b u e_4 J
buềnh	b u e_1 J
buểnh	b u e_2 J
buễnh	b u e_3 J
buệnh	b u e_5 J
buỳnh	b u i_1 J
buỵnh	b u i_5 J
buỷnh	b u i_2 J
buỹnh	b u i_3 J
buốp	b u@_4 p
buộp	b u@_5 p
buỵp	b u i_5 p
buất	b u 7_X_4 t
buật	b u 7_X_5 t
buốt	b u@_4 t
buột	b u@_5 t
buỵt	b u i_5 t
buỳu	b u i_1 u
buỵu	b u i_5 u
buỷu	b u i_2 u
buỹu	b u i_3 u
buấy	b u 7_X_4 i
buầy	b u 7_X_1 i
buẩy	b u 7_X_2 i
buẫy	b u 7_X_3 i
buậy	b u 7_X_5 i
by	b i_0
bà	b a_1
bài	b a_1 i
bàm	b a_1 m
bàn	b a_1 n
bàng	b a_1 N
bành	b a_1 N_+ 
bào	b a_1 O
bàu	b a_X_1 u 
bày	b a_X_1 i 
bá	b a_4
bác	b a_4 k
bách	b a_4 k_+ 
bái	b a_4 i
bám	b a_4 m
bán	b a_4 n
báng	b a_4 N
bánh	b a_4 N_+ 
báo	b a_4 O
báp	b a_4 p
bát	b a_4 t
báu	b a_X_4 u 
báy	b a_X_4 i 
bâm	b 7_X_0 m
bân	b 7_X_0 n
bâng	b 7_X_0 N
bâu	b 7_X_0 u
bây	b 7_X_0 i
bã	b a_3
bãi	b a_3 i
bãm	b a_3 m
bãn	b a_3 n
bãng	b a_3 N
bãnh	b a_3 N_+ 
bão	b a_3 O
bãu	b a_X_3 u 
bãy	b a_X_3 i 
bè	b E_1
bèm	b E_1 m
bèn	b E_1 n
bèng	b E_1 N
bèo	b E_1 O
bé	b E_4
béc	b E_4 k
bém	b E_4 m
bén	b E_4 n
béng	b E_4 N
béo	b E_4 O
bép	b E_4 p
bét	b E_4 t
bê	b e_0
bêm	b e_0 m
bên	b e_0 n
bênh	b e_0 N_+ 
bêu	b e_0 u
bì	b i_1
bìa	b i@_1
bìm	b i_1 m
bìn	b i_1 n
bình	b i_1 N_+ 
bìu	b i_1 u
bí	b i_4
bía	b i@_4
bích	b i_4 k_+ 
bím	b i_4 m
bín	b i_4 n
bính	b i_4 N_+ 
bíp	b i_4 p
bít	b i_4 t
bíu	b i_4 u
bò	b O_1
bòi	b O_1 i
bòm	b O_1 m
bòn	b O_1 n
bòng	b O_1 Nm 
bó	b O_4
bóc	b kp_4 kp 
bói	b O_4 i
bóm	b O_4 m
bón	b O_4 n
bóng	b O_X_4 Nm 
bóp	b O_4 p
bót	b O_4 t
bô	b o_0
bôi	b o_0 i
bôm	b o_0 m
bôn	b o_0 n
bông	b o_0 Nm 
bõ	b O_3
bõi	b O_3 i
bõm	b O_3 m
bõn	b O_3 n
bõng	b O_3 Nm 
bù	b u_1
bùa	b u@_1
bùi	b u_1 i
bùm	b u_1 m
bùn	b u_1 n
bùng	b u_1 Nm 
bú	b u_4
búa	b u@_4
búc	b u_4 kp 
búi	b u_4 i
búm	b u_4 m
bún	b u_4 n
búng	b u_4 Nm 
búp	b u_4 p
bút	b u_4 t
bý	b i_4
bĩ	b i_3
bũ	b u_3
bơ	b 7_0
bư	b M_0
bạ	b a_5
bả	b a_2
bẹ	b E_5
bẻ	b E_2
bẽ	b E_3
bế	b e_4
bề	b e_1
bể	b e_2
bễ	b e_3
bệ	b e_5
bỉ	b i_2
bị	b i_5
bọ	b O_5
bỏ	b O_2
bố	b o_4
bồ	b o_1
bổ	b o_2
bỗ	b o_3
bộ	b o_5
bớ	b 7_4
bờ	b 7_1
bở	b 7_2
bỡ	b 7_3
bợ	b 7_5
bụ	b u_5
bủ	b u_2
bứ	b M_4
bừ	b M_1
bử	b M_2
bữ	b M_3
bự	b M_5
bỳ	b i_1
bỵ	b i_5
bỷ	b i_2
bỹ	b i_3
bĩa	b i@_3
bũa	b u@_3
bưa	b M@_0
bỉa	b i@_2
bịa	b i@_5
bụa	b u@_5
bủa	b u@_2
bứa	b M@_4
bừa	b M@_1
bửa	b M@_2
bữa	b M@_3
bựa	b M@_5
bạc	b a_5 k
bấc	b 7_X_4 k
bậc	b 7_X_5 k
bắc	b a_X_4 k
bặc	b a_X_5 k
bẹc	b E_5 k
bọc	b kp_5 kp 
bốc	b o_4 kp 
bộc	b o_5 kp 
bục	b u_5 kp 
bức	b M_4 k
bực	b M_5 k
bạch	b a_5 k_+ 
bếch	b e_4 k_+ 
bệch	b e_5 k_+ 
bịch	b i_5 k_+ 
bũi	b u_3 i
bơi	b 7_0 i
bưi	b M_0 i
bại	b a_5 i
bải	b a_2 i
bọi	b O_5 i
bỏi	b O_2 i
bối	b o_4 i
bồi	b o_1 i
bổi	b o_2 i
bỗi	b o_3 i
bội	b o_5 i
bới	b 7_4 i
bời	b 7_1 i
bởi	b 7_2 i
bỡi	b 7_3 i
bợi	b 7_5 i
bụi	b u_5 i
bủi	b u_2 i
bứi	b M_4 i
bừi	b M_1 i
bửi	b M_2 i
bữi	b M_3 i
bựi	b M_5 i
băm	b a_X_0 m
bĩm	b i_3 m
bũm	b u_3 m
bơm	b 7_0 m
bưm	b M_0 m
bạm	b a_5 m
bảm	b a_2 m
bấm	b 7_X_4 m
bầm	b 7_X_1 m
bẩm	b 7_X_2 m
bẫm	b 7_X_3 m
bậm	b 7_X_5 m
bắm	b a_X_4 m
bằm	b a_X_1 m
bẳm	b a_X_2 m
bẵm	b a_X_3 m
bặm	b a_X_5 m
bẹm	b E_5 m
bẻm	b E_2 m
bẽm	b E_3 m
bếm	b e_4 m
bềm	b e_1 m
bểm	b e_2 m
bễm	b e_3 m
bệm	b e_5 m
bỉm	b i_2 m
bịm	b i_5 m
bọm	b O_5 m
bỏm	b O_2 m
bốm	b o_4 m
bồm	b o_1 m
bổm	b o_2 m
bỗm	b o_3 m
bộm	b o_5 m
bớm	b 7_4 m
bờm	b 7_1 m
bởm	b 7_2 m
bỡm	b 7_3 m
bợm	b 7_5 m
bụm	b u_5 m
bủm	b u_2 m
bứm	b M_4 m
bừm	b M_1 m
bửm	b M_2 m
bữm	b M_3 m
bựm	b M_5 m
băn	b a_X_0 n
bĩn	b i_3 n
bũn	b u_3 n
bơn	b 7_0 n
bưn	b M_0 n
bạn	b a_5 n
bản	b a_2 n
bấn	b 7_X_4 n
bần	b 7_X_1 n
bẩn	b 7_X_2 n
bẫn	b 7_X_3 n
bận	b 7_X_5 n
bắn	b a_X_4 n
bằn	b a_X_1 n
bẳn	b a_X_2 n
bẵn	b a_X_3 n
bặn	b a_X_5 n
bẹn	b E_5 n
bẻn	b E_2 n
bẽn	b E_3 n
bến	b e_4 n
bền	b e_1 n
bển	b e_2 n
bễn	b e_3 n
bện	b e_5 n
bỉn	b i_2 n
bịn	b i_5 n
bọn	b O_5 n
bỏn	b O_2 n
bốn	b o_4 n
bồn	b o_1 n
bổn	b o_2 n
bỗn	b o_3 n
bộn	b o_5 n
bớn	b 7_4 n
bờn	b 7_1 n
bởn	b 7_2 n
bỡn	b 7_3 n
bợn	b 7_5 n
bụn	b u_5 n
bủn	b u_2 n
bứn	b M_4 n
bừn	b M_1 n
bửn	b M_2 n
bữn	b M_3 n
bựn	b M_5 n
băng	b a_X_0 N
bũng	b u_3 Nm 
bưng	b M_0 N
bạng	b a_5 N
bảng	b a_2 N
bấng	b 7_X_4 N
bầng	b 7_X_1 N
bẩng	b 7_X_2 N
bẫng	b 7_X_3 N
bậng	b 7_X_5 N
bắng	b a_X_4 N
bằng	b a_X_1 N
bẳng	b a_X_2 N
bẵng	b a_X_3 N
bặng	b a_X_5 N
bẹng	b E_5 N
bẻng	b E_2 N
bẽng	b E_3 N
bọng	b O_5 Nm 
bỏng	b O_2 Nm 
bống	b o_4 Nm 
bồng	b o_1 Nm 
bổng	b o_2 Nm 
bỗng	b o_3 Nm 
bộng	b o_5 Nm 
bụng	b u_5 Nm 
bủng	b u_2 Nm 
bứng	b M_4 N
bừng	b M_1 N
bửng	b M_2 N
bững	b M_3 N
bựng	b M_5 N
bĩnh	b i_3 N_+ 
bạnh	b a_5 N_+ 
bảnh	b a_2 N_+ 
bếnh	b e_4 N_+ 
bềnh	b e_1 N_+ 
bểnh	b e_2 N_+ 
bễnh	b e_3 N_+ 
bệnh	b e_5 N_+ 
bỉnh	b i_2 N_+ 
bịnh	b i_5 N_+ 
bạo	b a_5 O
bảo	b a_2 O
bẹo	b E_5 O
bẻo	b E_2 O
bẽo	b E_3 O
bạp	b a_5 p
bấp	b 7_X_4 p
bập	b 7_X_5 p
bắp	b a_X_4 p
bặp	b a_X_5 p
bẹp	b E_5 p
bếp	b e_4 p
bệp	b e_5 p
bịp	b i_5 p
bọp	b O_5 p
bốp	b o_4 p
bộp	b o_5 p
bớp	b 7_4 p
bợp	b 7_5 p
bụp	b u_5 p
bạt	b a_5 t
bất	b 7_X_4 t
bật	b 7_X_5 t
bắt	b a_X_4 t
bặt	b a_X_5 t
bẹt	b E_5 t
bết	b e_4 t
bệt	b e_5 t
bịt	b i_5 t
bọt	b O_5 t
bốt	b o_4 t
bột	b o_5 t
bớt	b 7_4 t
bợt	b 7_5 t
bụt	b u_5 t
bứt	b M_4 t
bựt	b M_5 t
bĩu	b i_3 u
bưu	b M_0 u
bạu	b a_X_5 u 
bảu	b a_X_2 u 
bấu	b 7_X_4 u
bầu	b 7_X_1 u
bẩu	b 7_X_2 u
bẫu	b 7_X_3 u
bậu	b 7_X_5 u
bếu	b e_4 u
bều	b e_1 u
bểu	b e_2 u
bễu	b e_3 u
bệu	b e_5 u
bỉu	b i_2 u
bịu	b i_5 u
bứu	b M_4 u
bừu	b M_1 u
bửu	b M_2 u
bữu	b M_3 u
bựu	b M_5 u
bạy	b a_X_5 i 
bảy	b a_X_2 i 
bấy	b 7_X_4 i
bầy	b 7_X_1 i
bẩy	b 7_X_2 i
bẫy	b 7_X_3 i
bậy	b 7_X_5 i
bước	b M@_4 k
bược	b M@_5 k
bươi	b M@_0 i
bưới	b M@_4 i
bười	b M@_1 i
bưởi	b M@_2 i
bưỡi	b M@_3 i
bượi	b M@_5 i
bươm	b M@_0 m
bướm	b M@_4 m
bườm	b M@_1 m
bưởm	b M@_2 m
bưỡm	b M@_3 m
bượm	b M@_5 m
bươn	b M@_0 n
bướn	b M@_4 n
bườn	b M@_1 n
bưởn	b M@_2 n
bưỡn	b M@_3 n
bượn	b M@_5 n
bương	b M@_0 N
bướng	b M@_4 N
bường	b M@_1 N
bưởng	b M@_2 N
bưỡng	b M@_3 N
bượng	b M@_5 N
bướp	b M@_4 p
bượp	b M@_5 p
bướt	b M@_4 t
bượt	b M@_5 t
bươu	b M@_0 u
bướu	b M@_4 u
bườu	b M@_1 u
bưởu	b M@_2 u
bưỡu	b M@_3 u
bượu	b M@_5 u
ca	k a_0
cai	k a_0 i
cam	k a_0 m
can	k a_0 n
cang	k a_0 N
canh	k a_0 N_+ 
cao	k a_0 O
cau	k a_X_0 u 
cay	k a_X_0 i 
cha	ts\ a_0
chai	ts\ a_0 i
cham	ts\ a_0 m
chan	ts\ a_0 n
chang	ts\ a_0 N
chanh	ts\ a_0 N_+ 
chao	ts\ a_0 O
chau	ts\ a_X_0 u 
chay	ts\ a_X_0 i 
che	ts\ E_0
chem	ts\ E_0 m
chen	ts\ E_0 n
cheng	ts\ E_0 N
cheo	ts\ E_0 O
chi	ts\ i_0
chia	ts\ i@_0
chim	ts\ i_0 m
chin	ts\ i_0 n
chinh	ts\ i_0 N_+ 
chiu	ts\ i_0 u
chiêm	ts\ i@_0 m
chiên	ts\ i@_0 n
chiêng	ts\ i@_0 N
chiêu	ts\ i@_0 u
chiếc	ts\ i@_4 k
chiệc	ts\ i@_5 k
chiếm	ts\ i@_4 m
chiềm	ts\ i@_1 m
chiểm	ts\ i@_2 m
chiễm	ts\ i@_3 m
chiệm	ts\ i@_5 m
chiến	ts\ i@_4 n
chiền	ts\ i@_1 n
chiển	ts\ i@_2 n
chiễn	ts\ i@_3 n
chiện	ts\ i@_5 n
chiếng	ts\ i@_4 N
chiềng	ts\ i@_1 N
chiểng	ts\ i@_2 N
chiễng	ts\ i@_3 N
chiệng	ts\ i@_5 N
chiếp	ts\ i@_4 p
chiệp	ts\ i@_5 p
chiết	ts\ i@_4 t
chiệt	ts\ i@_5 t
chiếu	ts\ i@_4 u
chiều	ts\ i@_1 u
chiểu	ts\ i@_2 u
chiễu	ts\ i@_3 u
chiệu	ts\ i@_5 u
cho	ts\ O_0
choa	ts\ w a_0
choai	ts\ w a_0 i
choam	ts\ w a_0 m
choan	ts\ w a_0 n
choang	ts\ w a_0 N
choanh	ts\ w a_0 N_+ 
choao	ts\ w a_0 O
choay	ts\ w a_X_0 i 
choe	ts\ w E_0
choem	ts\ w E_0 m
choen	ts\ w E_0 n
choeo	ts\ w E_0 O
choi	ts\ O_0 i
chom	ts\ O_0 m
chon	ts\ O_0 n
chong	ts\ O_0 Nm 
choong	ts\ O_0 N
choà	ts\ w a_1
choài	ts\ w a_1 i
choàm	ts\ w a_1 m
choàn	ts\ w a_1 n
choàng	ts\ w a_1 N
choành	ts\ w a_1 N_+ 
choào	ts\ w a_1 O
choày	ts\ w a_X_1 i 
choá	ts\ w a_4
choác	ts\ w a_4 k
choách	ts\ w a_4 k_+ 
choái	ts\ w a_4 i
choám	ts\ w a_4 m
choán	ts\ w a_4 n
choáng	ts\ w a_4 N
choánh	ts\ w a_4 N_+ 
choáo	ts\ w a_4 O
choáp	ts\ w a_4 p
choát	ts\ w a_4 t
choáy	ts\ w a_X_4 i 
choã	ts\ w a_3
choãi	ts\ w a_3 i
choãm	ts\ w a_3 m
choãn	ts\ w a_3 n
choãng	ts\ w a_3 N
choãnh	ts\ w a_3 N_+ 
choão	ts\ w a_3 O
choãy	ts\ w a_X_3 i 
choè	ts\ w E_1
choèm	ts\ w E_1 m
choèn	ts\ w E_1 n
choèo	ts\ w E_1 O
choé	ts\ w E_4
choém	ts\ w E_4 m
choén	ts\ w E_4 n
choéo	ts\ w E_4 O
choét	ts\ w E_4 t
choòng	ts\ O O_1 N
choóc	ts\ O O_4 k
choóng	ts\ O O_4 N
choõng	ts\ O O_3 N
choạ	ts\ w a_5
choả	ts\ w a_2
choẹ	ts\ w E_5
choẻ	ts\ w E_2
choẽ	ts\ w E_3
choạc	ts\ w a_5 k
choắc	ts\ w a_X_4 k
choặc	ts\ w a_X_5 k
choọc	ts\ O O_5 k
choạch	ts\ w a_5 k_+ 
choại	ts\ w a_5 i
choải	ts\ w a_2 i
choăm	ts\ w a_X_0 m
choạm	ts\ w a_5 m
choảm	ts\ w a_2 m
choắm	ts\ w a_X_4 m
choằm	ts\ w a_X_1 m
choẳm	ts\ w a_X_2 m
choẵm	ts\ w a_X_3 m
choặm	ts\ w a_X_5 m
choẹm	ts\ w E_5 m
choẻm	ts\ w E_2 m
choẽm	ts\ w E_3 m
choăn	ts\ w a_X_0 n
choạn	ts\ w a_5 n
choản	ts\ w a_2 n
choắn	ts\ w a_X_4 n
choằn	ts\ w a_X_1 n
choẳn	ts\ w a_X_2 n
choẵn	ts\ w a_X_3 n
choặn	ts\ w a_X_5 n
choẹn	ts\ w E_5 n
choẻn	ts\ w E_2 n
choẽn	ts\ w E_3 n
choăng	ts\ w a_X_0 N
choạng	ts\ w a_5 N
choảng	ts\ w a_2 N
choắng	ts\ w a_X_4 N
choằng	ts\ w a_X_1 N
choẳng	ts\ w a_X_2 N
choẵng	ts\ w a_X_3 N
choặng	ts\ w a_X_5 N
choọng	ts\ O O_5 N
choỏng	ts\ O O_2 N
choạnh	ts\ w a_5 N_+ 
choảnh	ts\ w a_2 N_+ 
choạo	ts\ w a_5 O
choảo	ts\ w a_2 O
choẹo	ts\ w E_5 O
choẻo	ts\ w E_2 O
choẽo	ts\ w E_3 O
choạp	ts\ w a_5 p
choạt	ts\ w a_5 t
choắt	ts\ w a_X_4 t
choặt	ts\ w a_X_5 t
choẹt	ts\ w E_5 t
choạy	ts\ w a_X_5 i 
choảy	ts\ w a_X_2 i 
chu	ts\ u_0
chua	ts\ u@_0
chui	ts\ u_0 i
chum	ts\ u_0 m
chun	ts\ u_0 n
chung	ts\ u_0 Nm 
chuy	ts\ w i_0
chuya	ts\ w i@_0
chuyn	ts\ w i_0 n
chuynh	ts\ w i_0 J
chuyu	ts\ w i_0 u
chuyên	ts\ w i@_0 n
chuyến	ts\ w i@_4 n
chuyền	ts\ w i@_1 n
chuyển	ts\ w i@_2 n
chuyễn	ts\ w i@_3 n
chuyện	ts\ w i@_5 n
chuyết	ts\ w i@_4 t
chuyệt	ts\ w i@_5 t
chuân	ts\ u 7_X_0 n
chuâng	ts\ u 7_X_0 N
chuây	ts\ u 7_X_0 i_0
chuê	ts\ w e_0
chuênh	ts\ w e_0 N_+ 
chuôi	ts\ u@_0 i
chuôm	ts\ u@_0 m
chuôn	ts\ u@_0 n
chuông	ts\ u@_0 N
chuý	ts\ w i_4
chuýa	ts\ w i@_4
chuých	ts\ w i_4 k
chuýn	ts\ w i_4 n
chuýnh	ts\ w i_4 J
chuýp	ts\ w i_4 p
chuýt	ts\ w i_4 t
chuýu	ts\ w i_4 u
chuơ	ts\ u_0 7
chuế	ts\ w e_4
chuề	ts\ w e_1
chuể	ts\ w e_2
chuễ	ts\ w e_3
chuệ	ts\ w e_5
chuớ	ts\ u 7_4
chuờ	ts\ u 7_1
chuở	ts\ u 7_2
chuỡ	ts\ u 7_3
chuợ	ts\ u 7_5
chuỳ	ts\ w i_1
chuỵ	ts\ w i_5
chuỷ	ts\ w i_2
chuỹ	ts\ w i_3
chuỳa	ts\ w i@_1
chuỵa	ts\ w i@_5
chuỷa	ts\ w i@_2
chuỹa	ts\ w i@_3
chuốc	ts\ u@_4 k
chuộc	ts\ u@_5 k
chuếch	ts\ w e_4 k_+ 
chuệch	ts\ w e_5 k_+ 
chuỵch	ts\ w i_5 k
chuối	ts\ u@_4 i
chuồi	ts\ u@_1 i
chuổi	ts\ u@_2 i
chuỗi	ts\ u@_3 i
chuội	ts\ u@_5 i
chuốm	ts\ u@_4 m
chuồm	ts\ u@_1 m
chuổm	ts\ u@_2 m
chuỗm	ts\ u@_3 m
chuộm	ts\ u@_5 m
chuấn	ts\ u 7_X_4 n
chuần	ts\ u 7_X_1 n
chuẩn	ts\ u 7_X_2 n
chuẫn	ts\ u 7_X_3 n
chuận	ts\ u 7_X_5 n
chuốn	ts\ u@_4 n
chuồn	ts\ u@_1 n
chuổn	ts\ u@_2 n
chuỗn	ts\ u@_3 n
chuộn	ts\ u@_5 n
chuỳn	ts\ w i_1 n
chuỵn	ts\ w i_5 n
chuỷn	ts\ w i_2 n
chuỹn	ts\ w i_3 n
chuấng	ts\ u 7_X_4 N
chuầng	ts\ u 7_X_1 N
chuẩng	ts\ u 7_X_2 N
chuẫng	ts\ u 7_X_3 N
chuậng	ts\ u 7_X_5 N
chuống	ts\ u@_4 N
chuồng	ts\ u@_1 N
chuổng	ts\ u@_2 N
chuỗng	ts\ u@_3 N
chuộng	ts\ u@_5 N
chuếnh	ts\ w e_4 N_+ 
chuềnh	ts\ w e_1 N_+ 
chuểnh	ts\ w e_2 N_+ 
chuễnh	ts\ w e_3 N_+ 
chuệnh	ts\ w e_5 N_+ 
chuỳnh	ts\ w i_1 J
chuỵnh	ts\ w i_5 J
chuỷnh	ts\ w i_2 J
chuỹnh	ts\ w i_3 J
chuốp	ts\ u@_4 p
chuộp	ts\ u@_5 p
chuỵp	ts\ w i_5 p
chuất	ts\ u 7_X_4 t
chuật	ts\ u 7_X_5 t
chuốt	ts\ u@_4 t
chuột	ts\ u@_5 t
chuỵt	ts\ w i_5 t
chuỳu	ts\ w i_1 u
chuỵu	ts\ w i_5 u
chuỷu	ts\ w i_2 u
chuỹu	ts\ w i_3 u
chuấy	ts\ u 7_X_4 i
chuầy	ts\ u 7_X_1 i
chuẩy	ts\ u 7_X_2 i
chuẫy	ts\ u 7_X_3 i
chuậy	ts\ u 7_X_5 i
chy	ts\ i_0
chà	ts\ a_1
chài	ts\ a_1 i
chàm	ts\ a_1 m
chàn	ts\ a_1 n
chàng	ts\ a_1 N
chành	ts\ a_1 N_+ 
chào	ts\ a_1 O
chàu	ts\ a_X_1 u 
chày	ts\ a_X_1 i 
chá	ts\ a_4
chác	ts\ a_4 k
chách	ts\ a_4 k_+ 
chái	ts\ a_4 i
chám	ts\ a_4 m
chán	ts\ a_4 n
cháng	ts\ a_4 N
chánh	ts\ a_4 N_+ 
cháo	ts\ a_4 O
cháp	ts\ a_4 p
chát	ts\ a_4 t
cháu	ts\ a_X_4 u 
cháy	ts\ a_X_4 i 
châm	ts\ 7_X_0 m
chân	ts\ 7_X_0 n
châng	ts\ 7_X_0 N
châu	ts\ 7_X_0 u
chây	ts\ 7_X_0 i
chã	ts\ a_3
chãi	ts\ a_3 i
chãm	ts\ a_3 m
chãn	ts\ a_3 n
chãng	ts\ a_3 N
chãnh	ts\ a_3 N_+ 
chão	ts\ a_3 O
chãu	ts\ a_X_3 u 
chãy	ts\ a_X_3 i 
chè	ts\ E_1
chèm	ts\ E_1 m
chèn	ts\ E_1 n
chèng	ts\ E_1 N
chèo	ts\ E_1 O
ché	ts\ E_4
chéc	ts\ E_4 k
chém	ts\ E_4 m
chén	ts\ E_4 n
chéng	ts\ E_4 N
chéo	ts\ E_4 O
chép	ts\ E_4 p
